Sequence;Condition;Model;Run;APE RMSE;RPE RMSE;RPE RMSE - 1m;RPE RMSE - 10m;Loss of Tracking;Tracking rate in %;Total Frames;Tracked Frames;
city_loop_2_train;Reflections;DM-VIO Stereo;3;280.509703;0.713269;2.918758;25.990595;0;99.7716895;5694;5681;
city_loop_1_train;Light rain;DM-VIO Stereo;1;282.819465;2.041201;8.437645;45.324512;0;99.16542815;8747;8674;
city_loop_1_train;Light rain;DM-VIO Stereo;2;142.004524;1.793014;13.956845;14.194756;0;99.16542815;8747;8674;
city_loop_1_train;Light rain;DM-VIO Stereo;3;267.544504;2.029427;5.572295;32.819066;0;99.16542815;8747;8674;
office_loop_3_train;Overcast;DM-VIO Stereo;1;11.031027;0.865126;1.397389;10.066590;0;96.09079445;6344;6096;
office_loop_3_train;Overcast;DM-VIO Stereo;2;10.175830;0.866899;1.383500;10.039891;0;96.09079445;6344;6096;
office_loop_3_train;Overcast;DM-VIO Stereo;3;11.491264;0.865637;1.396947;10.070949;0;96.09079445;6344;6096;
office_loop_1_train;Sun Flares;DM-VIO Stereo;1;244.497773;1.154128;8.416667;51.604617;0;93.87678905;8035;7543;
office_loop_1_train;Sun Flares;DM-VIO Stereo;2;245.185750;1.154592;8.737139;56.311958;0;93.87678905;8035;7543;
office_loop_1_train;Sun Flares;DM-VIO Stereo;3;9.502737;0.890998;1.348676;9.930721;0;93.87678905;8035;7543;
office_loop_4_train;Harsh Shadows;DM-VIO Stereo;1;8.924673;0.802448;1.456843;9.837883;0;98.61866275;6805;6711;
office_loop_4_train;Harsh Shadows;DM-VIO Stereo;2;9.575583;0.794281;1.455697;9.902305;0;98.61866275;6805;6711;
office_loop_4_train;Harsh Shadows;DM-VIO Stereo;3;10.516362;0.814730;1.469988;9.850160;0;98.61866275;6805;6711;
office_loop_5_train;Snow and wet street;DM-VIO Stereo;1;10.040497;0.825379;1.351681;9.748715;0;98.28554089;6591;6478;
office_loop_5_train;Snow and wet street;DM-VIO Stereo;2;11.002880;0.824943;1.353475;9.628401;0;98.28554089;6591;6478;
office_loop_5_train;Snow and wet street;DM-VIO Stereo;3;12.669867;0.823002;1.350785;9.700741;0;98.28554089;6591;6478;
neighborhood_1_train;Overcast;DM-VIO Stereo;1;6.040174;0.678783;1.268905;9.387470;0;98.96968792;6697;6628;
neighborhood_1_train;Overcast;DM-VIO Stereo;2;6.318205;0.679024;1.266764;9.407484;0;98.96968792;6697;6628;
neighborhood_1_train;Overcast;DM-VIO Stereo;3;6.274030;0.678790;1.267193;9.392503;0;98.96968792;6697;6628;
neighborhood_3_train;Rain;DM-VIO Stereo;1;8.896400;0.637318;1.305656;9.453477;0;98.57210105;6373;6282;
neighborhood_3_train;Rain;DM-VIO Stereo;2;8.701950;0.637895;1.304478;9.456706;0;98.57210105;6373;6282;
neighborhood_3_train;Rain;DM-VIO Stereo;3;8.044966;0.638970;1.304947;9.517282;0;98.57210105;6373;6282;
neighborhood_5_train;Harsh Shadows;DM-VIO Stereo;1;5.899255;0.669942;1.306097;9.529194;0;97.93073717;6959;6815;
neighborhood_5_train;Harsh Shadows;DM-VIO Stereo;2;6.541489;0.670299;1.303259;9.556298;0;97.93073717;6959;6815;
neighborhood_5_train;Harsh Shadows;DM-VIO Stereo;3;5.864028;0.668811;1.301589;9.517425;0;97.93073717;6959;6815;
neighborhood_6_train;Low contrast;DM-VIO Stereo;1;6.929461;0.680826;1.271871;9.636553;0;98.33031863;7187;7067;
neighborhood_6_train;Low contrast;DM-VIO Stereo;2;7.783732;0.680144;1.271542;9.641006;0;98.33031863;7187;7067;
neighborhood_6_train;Low contrast;DM-VIO Stereo;3;7.136218;0.680278;1.271209;9.610458;0;98.33031863;7187;7067;
FoMo_2025_05_28;Sun;DM-VIO Stereo;1;70.577571;0.252254;8.498179;47.224230;0;94.71682164;4732;4482;
FoMo_2025_05_28;Sun;DM-VIO Stereo;2;46.024706;0.714490;2.263554;14.602203;0;94.56889265;4732;4475;
FoMo_2025_05_28;Sun;DM-VIO Stereo;3;40.816550;0.353668;4.831040;18.909177;1;36.05240913;4732;1706;
FoMo_2024_11_21;Overcast;DM-VIO Stereo;1;65.463480;0.315456;9.164572;50.194360;0;98.89821616;5718;5655;
FoMo_2024_11_21;Overcast;DM-VIO Stereo;2;65.226247;0.456946;4.865701;35.255310;0;98.53095488;5718;5634;
FoMo_2024_11_21;Overcast;DM-VIO Stereo;3;62.829995;0.605231;4.120458;28.249178;0;98.53095488;5718;5634;
FoMo_2025_03_10;Snow;DM-VIO Stereo;1;22.683577;0.764687;1.901467;12.894025;0;99.10714286;5600;5550;
FoMo_2025_03_10;Snow;DM-VIO Stereo;2;65.482142;0.295802;4.047928;33.235034;0;99.16071429;5600;5553;
FoMo_2025_03_10;Snow;DM-VIO Stereo;3;45.642720;0.664670;2.240897;14.804115;0;98.26785714;5600;5503;
